#{"t_start": 1786944323.344372, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
490.0,2579,3877.097906
275.0,1987,3883.107613
300.0,2553,3890.86761
130.0,1797,3896.773254
10.0,1117,3900.061915
205.0,2095,3906.390185
355.0,2781,3915.15926
225.0,2997,3924.099353
235.0,2825,3932.324032
300.0,2665,3940.069767
315.0,2471,3947.344246
530.0,2756,3955.769669
325.0,2209,3962.138511
245.0,2059,3970.324504
465.0,3175,3982.411723
210.0,1571,3988.023591
315.0,2597,3996.210079
155.0,1939,4002.302815
210.0,2505,4010.118803
300.0,2555,4019.962841
210.0,2123,4035.959732
100.0,1455,4043.751748
140.0,1937,4052.812114
320.0,3351,4064.818428
345.0,2883,4075.952027
85.0,1471,4081.043492
165.0,2339,4096.293475
185.0,2365,4108.322707
310.0,3792,4125.774685
475.0,2501,4133.28735
360.0,2777,4142.773365
195.0,2641,4150.879677
415.0,2753,4162.540927
600.0,4735,4176.26952
285.0,3244,4192.118444
700.0,3485,4206.372166
270.0,2829,4218.403839
410.0,3237,4231.313898
345.0,2540,4241.354199
340.0,2513,4253.613661
385.0,3285,4267.421595
365.0,2587,4277.723867
215.0,2041,4286.467818
300.0,2491,4296.954851
145.0,1427,4302.35311
575.0,2407,4312.439123
295.0,2701,4325.514821
310.0,2989,4335.84298
305.0,2367,4344.14959
360.0,2765,4355.170972
520.0,3319,4366.164148
215.0,2131,4374.654041
330.0,2830,4385.018701
485.0,3093,4395.567929
185.0,1969,4402.213642
280.0,2513,4411.973215
235.0,1667,4418.714547
390.0,2633,4429.839377
290.0,2209,4438.621406
265.0,2283,4446.84215
380.0,2599,4456.551657
460.0,3521,4469.853828
260.0,1879,4476.315398
260.0,2409,4484.721688
340.0,2847,4496.251174
380.0,3209,4511.518982
335.0,2796,4525.824602
205.0,2325,4536.067647
540.0,2949,4546.876828
470.0,3473,4562.845534
300.0,2705,4572.148486
195.0,1881,4578.300743
410.0,3397,4589.874807
305.0,2221,4598.315293
335.0,3100,4609.533279
380.0,3723,4623.824793
360.0,2809,4633.772645
290.0,2883,4644.952843
275.0,2513,4652.968284
440.0,3157,4663.860681
225.0,2747,4673.912158
670.0,4581,4688.771071
355.0,3113,4698.788797
215.0,1921,4705.089984
205.0,2311,4713.88649
255.0,2469,4722.067184
105.0,1563,4728.282387
580.0,3179,4741.287409
280.0,2571,4751.271509
375.0,3187,4763.563064
510.0,4659,4782.718128
160.0,1733,4789.484555
315.0,2537,4799.044057
660.0,4055,4813.496544
85.0,1807,4819.517368
355.0,2742,4828.841731
110.0,1567,4834.742971
260.0,2377,4843.158175
260.0,3966,4857.875926
480.0,3625,4870.435053
310.0,2744,4880.974156
605.0,3319,4922.788344
310.0,2183,4955.284772
285.0,2745,4993.815648
325.0,2348,5015.912175
580.0,3285,5029.140846
705.0,3551,5039.282507
500.0,3523,5049.554516
320.0,2957,5057.8375
450.0,2973,5066.742548
275.0,3317,5075.986318
545.0,3855,5086.702074
210.0,2973,5094.993824
300.0,2499,5102.080953
595.0,4045,5113.464724
280.0,2743,5121.276845
410.0,3507,5131.042468
545.0,2831,5139.623169
395.0,3179,5148.710233
255.0,2485,5155.957317
330.0,2921,5164.143421
645.0,4029,5175.647098
75.0,1907,5180.864536
575.0,3844,5191.933897
195.0,1979,5197.470035
195.0,2571,5205.206558
415.0,3089,5214.475394
475.0,3575,5224.784012
65.0,1891,5230.201224
165.0,1899,5235.8471
495.0,4441,5248.757957
240.0,2051,5254.536123
345.0,2603,5262.21709
370.0,2672,5270.406024
355.0,2370,5277.153966
80.0,1455,5281.246205
170.0,2205,5287.395619
90.0,2197,5293.584275
95.0,1581,5297.853069
130.0,2173,5304.215108
305.0,2865,5312.23239
215.0,1815,5320.382909
325.0,2623,5327.808196
575.0,4584,5342.144992
740.0,4293,5354.849971
340.0,2412,5361.532148
265.0,2235,5368.23359
1070.0,5629,5387.436774
540.0,3111,5398.03019
380.0,3177,5408.409253
730.0,4999,5424.737544
660.0,4785,5441.186836
600.0,4229,5455.439853
635.0,2835,5464.841358
845.0,7423,5488.247163
370.0,3341,5498.607631
630.0,4461,5512.327504
475.0,2561,5519.838235
310.0,2369,5526.6785
345.0,2733,5534.975928
380.0,2933,5546.01975
405.0,3180,5556.314509
355.0,3237,5566.071166
295.0,2412,5573.091152
600.0,3789,5584.298144
410.0,3649,5594.931749
515.0,3667,5605.336202
840.0,5409,5623.650964
1020.0,6343,5648.210226
725.0,4022,5661.961503
345.0,2455,5670.733437
305.0,2257,5678.926166
370.0,3362,5689.690012
495.0,3273,5705.291847
725.0,3539,5718.59066
545.0,3547,5729.618158
320.0,2943,5738.308169
495.0,2753,5749.027639
650.0,2561,5760.632681
310.0,2455,5771.028845
290.0,2583,5779.560176
375.0,3127,5791.767034
520.0,4631,5807.323854
515.0,3621,5820.117093
415.0,2763,5829.165862
370.0,3167,5838.927816
495.0,4687,5854.591621
570.0,4212,5867.739512
645.0,3513,5878.898923
235.0,1873,5884.841254
315.0,2740,5893.159634
365.0,3039,5902.78688
95.0,1807,5908.881614
390.0,2945,5918.859934
315.0,2575,5927.018854
340.0,2701,5935.981561
275.0,2523,5944.724783
280.0,2949,5954.627118
725.0,3983,5968.770244
305.0,2612,5977.509584
270.0,3381,5989.741021
385.0,2713,6005.828302
365.0,3196,6018.239042
455.0,2593,6029.80627
300.0,2945,6044.831335
670.0,4447,6060.68653
630.0,5141,6078.238779
270.0,2817,6090.539146
290.0,3155,6103.399685
1205.0,7935,6138.740864
600.0,4679,6158.516706
405.0,3601,6173.059051
385.0,3399,6185.303564
470.0,3553,6199.140801
90.0,1867,6207.128114
220.0,2465,6217.400025
455.0,4061,6234.12414
580.0,3615,6247.512034
545.0,3315,6259.700997
335.0,2983,6271.42479
350.0,2677,6284.756638
605.0,4211,6301.163026
515.0,3915,6315.126886
520.0,4075,6330.492958
275.0,2161,6338.102664
1000.0,4829,6354.480663
600.0,3753,6368.070116
775.0,3913,6382.408909
985.0,4357,6411.725366
320.0,2947,6421.071052
520.0,4333,6442.8233
490.0,3347,6453.340742
375.0,2642,6464.200837
400.0,2584,6472.789419
800.0,4679,6487.073245
435.0,2565,6494.793576
470.0,2225,6501.576871
395.0,3411,6511.750752
570.0,3697,6524.697592
460.0,3433,6534.687934
540.0,2284,6541.841975
685.0,3265,6551.432818
290.0,2723,6559.741261
660.0,5175,6574.319689
415.0,4057,6586.165676
330.0,2981,6594.83798
600.0,3875,6606.23821
720.0,4701,6620.056578
270.0,2363,6627.769267
1030.0,7331,6652.449208
355.0,2267,6659.28596
1100.0,5211,6674.876336
800.0,4011,6686.736756
540.0,3294,6696.85894
575.0,3685,6707.676473
600.0,4453,6722.158352
285.0,3233,6731.809508
285.0,2433,6746.30241
575.0,4187,6759.9596
250.0,2325,6768.062328
745.0,3976,6780.385132
215.0,2503,6790.290004
230.0,2487,6799.2009
470.0,3659,6810.161083
305.0,3705,6822.620996
670.0,5557,6839.76198
800.0,4261,6854.757042
775.0,4651,6883.798665
575.0,4461,6899.903873
575.0,4731,6915.191547
1015.0,7707,6944.730091
600.0,4185,6957.871636
710.0,3999,6971.920716
515.0,3878,6996.594445
520.0,3757,7010.458673
525.0,4365,7027.262807
465.0,3503,7040.464453
600.0,5033,7063.133912
715.0,5757,7087.09849
345.0,2372,7096.289666
595.0,2625,7106.713048
450.0,3213,7124.095281
325.0,2437,7139.686017
180.0,1899,7146.027702
570.0,4011,7159.223436
685.0,4307,7172.658947
325.0,2156,7179.794045
530.0,4321,7195.013856
640.0,5383,7210.998928
495.0,3623,7221.293722
295.0,2289,7227.718502
445.0,3637,7238.114434
1195.0,6428,7256.086377
570.0,5537,7271.136569
490.0,3983,7281.751594
1065.0,5509,7296.566733
660.0,3105,7305.04346
335.0,2497,7311.928342
775.0,4557,7324.869205
560.0,3807,7335.2734
375.0,2897,7343.128771
575.0,3799,7353.650025
470.0,3311,7363.125924
715.0,3984,7374.64781
600.0,3953,7385.979602
545.0,3838,7397.195152
600.0,4495,7409.861202
645.0,2952,7417.791944
600.0,4261,7430.930965
600.0,3781,7445.588276
475.0,4051,7456.594227
605.0,4355,7470.73913
525.0,3769,7488.803895
600.0,2419,7506.900162
535.0,3359,7533.273297
495.0,3513,7563.81381
525.0,3492,7591.153355
390.0,2769,7607.807954
465.0,3943,7623.063895
540.0,3770,7637.061581
600.0,5025,7654.154889
520.0,3470,7666.219265
1055.0,5923,7689.574241
260.0,2431,7698.239066
255.0,2281,7706.236117
475.0,3433,7722.151892
545.0,4063,7736.419739
1010.0,5279,7753.938118
645.0,3457,7764.803563
590.0,2369,7771.751805
450.0,3293,7781.686226
605.0,3923,7792.757511
770.0,6573,7813.812601
435.0,3869,7825.603922
1000.0,6607,7855.11896
800.0,4415,7871.303226
395.0,2655,7880.271938
495.0,4195,7892.35517
540.0,2555,7899.825239
525.0,3917,7911.478557
600.0,3837,7922.474808
480.0,3709,7932.926216
600.0,4523,7955.566261
330.0,2777,7967.398625
350.0,2391,7978.53893
365.0,2902,7991.507432
745.0,3795,8009.006543
545.0,3847,8025.6201
695.0,3761,8040.075859
575.0,3708,8053.419162
690.0,3659,8066.286088
530.0,3726,8079.683456
720.0,3522,8092.204771
300.0,2795,8101.953114
600.0,4049,8115.782306
550.0,3504,8127.554246
920.0,3713,8140.211135
570.0,3694,8152.812604
370.0,3347,8164.147913
540.0,3957,8177.421682
745.0,3760,8189.627641
715.0,5509,8207.760021
515.0,4681,8228.582443
315.0,2917,8238.321083
530.0,4137,8251.897486
545.0,3637,8264.211977
600.0,3993,8277.47188
285.0,2636,8286.1907
340.0,2512,8294.570299
670.0,4149,8309.581344
745.0,3869,8323.77234
600.0,3959,8340.554605
650.0,3167,8352.486004
715.0,5197,8373.664998
730.0,4255,8390.279727
475.0,3839,8404.598586
745.0,3878,8418.967042
1035.0,7433,8446.503023
540.0,3949,8460.551122
465.0,3463,8472.941416
440.0,3531,8485.457425
540.0,4068,8500.081399
460.0,4077,8514.375111
575.0,4012,8528.438752
740.0,4685,8544.855114
1175.0,7847,8575.095468
545.0,4859,8598.211886
780.0,3957,8612.011313
460.0,4099,8627.845018
605.0,4781,8647.086125
950.0,6935,8668.765641
805.0,4017,8680.579652
370.0,2927,8689.818162
520.0,4037,8701.834405
610.0,3443,8713.357853
515.0,3827,8734.022304
190.0,2179,8744.447374
540.0,4049,8762.230931
515.0,3875,8801.321271
680.0,3291,8828.020011
545.0,4375,8858.697613
175.0,2505,8876.492105
510.0,3331,8897.572527
485.0,2881,8915.524539
690.0,4841,8941.551051
540.0,3664,8956.954291
